@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
1,'2018/04/02 10:01:33:484',1,174.906982,1
2,'2018/04/02 10:01:33:522',1,175.381821,1
3,'2018/04/02 10:01:33:546',1,173.389053,1
4,'2018/04/02 10:01:33:576',1,173.116455,1
5,'2018/04/02 10:01:33:609',1,172.426651,1
6,'2018/04/02 10:01:33:641',1,173.7845,1
7,'2018/04/02 10:01:33:675',1,174.750916,1
8,'2018/04/02 10:01:33:708',1,177.172119,1
9,'2018/04/02 10:01:33:740',1,178.412811,1
10,'2018/04/02 10:01:33:784',1,178.415451,1
11,'2018/04/02 10:01:33:817',1,178.145874,1
12,'2018/04/02 10:01:33:848',1,173.987198,1
13,'2018/04/02 10:01:33:880',1,173.180328,1
14,'2018/04/02 10:01:33:913',1,174.955154,1
15,'2018/04/02 10:01:33:945',1,176.001465,1
16,'2018/04/02 10:01:33:976',1,176.969803,1
17,'2018/04/02 10:01:34:008',1,176.871231,1
18,'2018/04/02 10:01:34:045',1,176.254684,1
19,'2018/04/02 10:01:34:078',1,176.066849,1
20,'2018/04/02 10:01:34:112',1,174.88858,1
21,'2018/04/02 10:01:34:146',1,174.896118,1
22,'2018/04/02 10:01:34:187',1,176.304688,1
23,'2018/04/02 10:01:34:220',1,176.547607,1
24,'2018/04/02 10:01:34:254',1,176.909912,1
25,'2018/04/02 10:01:34:286',1,174.979568,1
26,'2018/04/02 10:01:34:313',1,175.24614,1
27,'2018/04/02 10:01:34:346',1,179.962677,1
28,'2018/04/02 10:01:34:376',1,177.983521,1
29,'2018/04/02 10:01:34:409',1,178.545975,1
30,'2018/04/02 10:01:34:459',1,179.451294,1
31,'2018/04/02 10:01:34:499',1,178.614349,1
32,'2018/04/02 10:01:34:530',1,178.546082,1
33,'2018/04/02 10:01:34:553',1,178.180435,1
34,'2018/04/02 10:01:34:583',1,179.719177,1
35,'2018/04/02 10:01:34:616',1,179.233231,1
36,'2018/04/02 10:01:34:648',1,178.747345,1
37,'2018/04/02 10:01:34:680',1,178.851196,1
38,'2018/04/02 10:01:34:712',1,179.901428,1
39,'2018/04/02 10:01:34:744',1,179.561508,1
40,'2018/04/02 10:01:34:776',1,178.089584,1
41,'2018/04/02 10:01:34:809',1,177.449997,1
42,'2018/04/02 10:01:34:840',1,177.153687,1
43,'2018/04/02 10:01:34:873',1,178.011978,1
44,'2018/04/02 10:01:34:906',1,180,1
45,'2018/04/02 10:01:34:951',1,179.890839,1
46,'2018/04/02 10:01:34:983',1,179.008774,1
47,'2018/04/02 10:01:35:016',1,178.894348,1
48,'2018/04/02 10:01:35:047',1,179.889664,1
49,'2018/04/02 10:01:35:080',1,179.106476,1
50,'2018/04/02 10:01:35:112',1,179.395065,1
51,'2018/04/02 10:01:35:144',1,179.546463,1
52,'2018/04/02 10:01:35:176',1,179.679871,1
53,'2018/04/02 10:01:35:209',1,177.844894,1
54,'2018/04/02 10:01:35:246',1,178.666641,1
55,'2018/04/02 10:01:35:276',1,179.504349,1
56,'2018/04/02 10:01:35:311',1,179.803635,1
57,'2018/04/02 10:01:35:354',1,178.80246,1
58,'2018/04/02 10:01:35:387',1,179.957382,1
59,'2018/04/02 10:01:35:420',1,177.852997,1
60,'2018/04/02 10:01:35:453',1,179.662003,1
61,'2018/04/02 10:01:35:483',1,179.805405,1
62,'2018/04/02 10:01:35:512',1,178.220718,1
63,'2018/04/02 10:01:35:544',1,178.340195,1
64,'2018/04/02 10:01:35:576',1,177.6633,1
65,'2018/04/02 10:01:35:608',1,179.522369,1
66,'2018/04/02 10:01:35:641',1,179.684479,1
67,'2018/04/02 10:01:35:674',1,179.972092,1
68,'2018/04/02 10:01:35:719',1,179.031204,1
69,'2018/04/02 10:01:35:751',1,179.884872,1
70,'2018/04/02 10:01:35:783',1,179.350235,1
71,'2018/04/02 10:01:35:815',1,179.9189,1
72,'2018/04/02 10:01:35:847',1,179.549301,1
73,'2018/04/02 10:01:35:880',1,179.862061,1
74,'2018/04/02 10:01:35:913',1,179.825272,1
75,'2018/04/02 10:01:35:945',1,179.955414,1
76,'2018/04/02 10:01:35:978',1,178.701859,1
77,'2018/04/02 10:01:36:011',1,177.097778,1
78,'2018/04/02 10:01:36:041',1,179.470703,1
79,'2018/04/02 10:01:36:073',1,179.263779,1
80,'2018/04/02 10:01:36:121',1,175.479706,1
81,'2018/04/02 10:01:36:152',1,176.033401,1
82,'2018/04/02 10:01:36:183',1,176.269333,1
83,'2018/04/02 10:01:36:218',1,176.347717,1
84,'2018/04/02 10:01:36:249',1,179.278854,1
85,'2018/04/02 10:01:36:282',1,177.223877,1
86,'2018/04/02 10:01:36:314',1,175.010269,1
87,'2018/04/02 10:01:36:344',1,174.446976,1
88,'2018/04/02 10:01:36:377',1,174.469666,1
89,'2018/04/02 10:01:36:408',1,174.461243,1
90,'2018/04/02 10:01:36:441',1,173.913025,1
91,'2018/04/02 10:01:36:477',1,177.967926,1
92,'2018/04/02 10:01:36:522',1,176.587585,1
93,'2018/04/02 10:01:36:552',1,178.946213,1
94,'2018/04/02 10:01:36:585',1,179.586319,1
95,'2018/04/02 10:01:36:616',1,179.574371,1
96,'2018/04/02 10:01:36:649',1,177.062393,1
97,'2018/04/02 10:01:36:681',1,176.570435,1
98,'2018/04/02 10:01:36:715',1,176.188034,1
99,'2018/04/02 10:01:36:746',1,176.290329,1
100,'2018/04/02 10:01:36:780',1,176.587418,1
101,'2018/04/02 10:01:36:811',1,175.201111,1
102,'2018/04/02 10:01:36:842',1,175.8414,1
103,'2018/04/02 10:01:36:889',1,174.237762,1
104,'2018/04/02 10:01:36:921',1,174.28981,1
105,'2018/04/02 10:01:36:951',1,174.33989,1
106,'2018/04/02 10:01:36:984',1,179.755768,1
107,'2018/04/02 10:01:37:017',1,174.305267,1
108,'2018/04/02 10:01:37:048',1,174.258102,1
109,'2018/04/02 10:01:37:081',1,173.927811,1
110,'2018/04/02 10:01:37:113',1,173.572418,1
111,'2018/04/02 10:01:37:147',1,175.29657,1
112,'2018/04/02 10:01:37:176',1,176.639053,1
113,'2018/04/02 10:01:37:208',1,177.677109,1
114,'2018/04/02 10:01:37:242',1,177.022659,1
115,'2018/04/02 10:01:37:286',1,175.844711,1
116,'2018/04/02 10:01:37:318',1,174.818726,1
117,'2018/04/02 10:01:37:351',1,173.804092,1
118,'2018/04/02 10:01:37:383',1,173.024002,1
119,'2018/04/02 10:01:37:417',1,172.599792,1
120,'2018/04/02 10:01:37:447',1,171.199524,1
121,'2018/04/02 10:01:37:480',1,170.966995,1
122,'2018/04/02 10:01:37:511',1,171.320114,1
123,'2018/04/02 10:01:37:545',1,171.831726,1
124,'2018/04/02 10:01:37:579',1,171.860306,1
125,'2018/04/02 10:01:37:612',1,172.109406,1
126,'2018/04/02 10:01:37:643',1,173.403168,1
127,'2018/04/02 10:01:37:690',1,175.210434,1
128,'2018/04/02 10:01:37:719',1,177.642899,1
129,'2018/04/02 10:01:37:756',1,179.179504,1
130,'2018/04/02 10:01:37:784',1,179.585312,1
131,'2018/04/02 10:01:37:815',1,179.626862,1
132,'2018/04/02 10:01:37:848',1,179.829056,1
133,'2018/04/02 10:01:37:880',1,178.741241,1
134,'2018/04/02 10:01:37:913',1,178.211929,1
135,'2018/04/02 10:01:37:944',1,178.404831,1
136,'2018/04/02 10:01:37:975',1,177.445724,1
137,'2018/04/02 10:01:38:008',1,176.980286,1
138,'2018/04/02 10:01:38:041',1,177.475586,1
139,'2018/04/02 10:01:38:086',1,178.57843,1
140,'2018/04/02 10:01:38:118',1,177.870041,1
141,'2018/04/02 10:01:38:151',1,177.861511,1
142,'2018/04/02 10:01:38:183',1,177.685104,1
143,'2018/04/02 10:01:38:215',1,177.199326,1
144,'2018/04/02 10:01:38:248',1,179.046112,1
145,'2018/04/02 10:01:38:281',1,179.521301,1
146,'2018/04/02 10:01:38:312',1,179.454102,1
147,'2018/04/02 10:01:38:344',1,178.494263,1
148,'2018/04/02 10:01:38:376',1,178.062271,1
149,'2018/04/02 10:01:38:411',1,178.159698,1
150,'2018/04/02 10:01:38:456',1,177.703857,1
151,'2018/04/02 10:01:38:487',1,178.271469,1
152,'2018/04/02 10:01:38:519',1,177.852798,1
153,'2018/04/02 10:01:38:550',1,176.981934,1
154,'2018/04/02 10:01:38:583',1,177.433273,1
155,'2018/04/02 10:01:38:617',1,177.588745,1
156,'2018/04/02 10:01:38:648',1,177.523361,1
157,'2018/04/02 10:01:38:679',1,177.6996,1
158,'2018/04/02 10:01:38:714',1,177.342789,1
159,'2018/04/02 10:01:38:745',1,179.500671,1
160,'2018/04/02 10:01:38:777',1,179.57135,1
161,'2018/04/02 10:01:38:811',1,179.745865,1
162,'2018/04/02 10:01:38:854',1,179.074341,1
163,'2018/04/02 10:01:38:888',1,178.815674,1
164,'2018/04/02 10:01:38:921',1,178.962662,1
165,'2018/04/02 10:01:38:951',1,178.949432,1
